iter	Passed	Remaining
0	37	37064
1	146	73249
2	225	75036
3	277	69038
4	366	72879
5	457	75799
6	527	74893
7	624	77457
8	719	79247
9	819	81179
10	922	82960
11	1031	84916
12	1127	85640
13	1216	85662
14	1297	85180
15	1423	87532
16	1512	87438
17	1535	83760
18	1649	85187
19	1735	85034
20	1803	84097
21	1873	83279
22	1955	83048
23	2127	86526
24	2210	86200
25	2281	85455
26	2356	84907
27	2439	84685
28	2519	84366
29	2613	84501
30	2700	84412
31	2783	84199
32	2872	84176
33	2947	83756
34	3045	83975
35	3187	85360
36	3275	85260
37	3357	84992
38	3443	84851
39	3522	84541
40	3610	84452
41	3691	84212
42	3785	84248
43	3872	84130
44	3951	83866
45	4026	83503
46	4130	83751
47	4227	83845
48	4315	83760
49	4406	83732
50	4495	83657
51	4593	83749
52	4691	83827
53	4781	83762
54	4871	83705
55	4949	83435
56	5042	83416
57	5150	83651
58	5255	83821
59	5355	83905
60	5453	83954
61	5546	83908
62	5648	84017
63	5731	83829
64	5822	83756
65	5909	83631
66	6003	83604
67	6081	83350
68	6211	83815
69	6302	83729
70	6396	83700
71	6494	83701
72	6582	83589
73	6683	83633
74	6777	83585
75	6881	83668
76	6963	83472
77	7064	83508
78	7162	83502
79	7289	83830
80	7385	83794
81	7491	83868
82	7593	83898
83	7694	83901
84	7787	83835
85	7876	83708
86	7970	83640
87	8072	83659
88	8152	83450
89	8269	83616
90	8364	83548
91	8462	83521
92	8554	83434
93	8686	83720
94	8767	83518
95	8859	83428
96	8949	83310
97	9030	83121
98	9112	82935
99	9202	82822
100	9339	83134
101	9431	83036
102	9538	83070
103	9645	83097
104	9740	83030
105	9851	83085
106	9946	83009
107	10039	82918
108	10135	82850
109	10249	82930
110	10439	83612
111	10574	83841
112	10658	83662
113	10791	83867
114	10892	83823
115	10984	83711
116	11075	83585
117	11163	83440
118	11251	83295
119	11328	83075
120	11468	83314
121	11598	83470
122	11685	83318
123	11769	83147
124	11856	82993
125	11952	82908
126	12039	82758
127	12130	82636
128	12210	82444
129	12306	82361
130	12464	82686
131	12554	82552
132	12645	82431
133	12751	82405
134	12845	82306
135	12930	82147
136	13021	82026
137	13113	81908
138	13203	81787
139	13289	81635
140	13386	81552
141	13495	81541
142	13577	81370
143	13671	81266
144	13750	81078
145	13841	80963
146	13937	80876
147	14027	80755
148	14162	80886
149	14265	80839
150	14354	80708
151	14446	80597
152	14563	80622
153	14667	80573
154	14754	80438
155	14843	80306
156	14959	80321
157	15075	80340
158	15183	80310
159	15267	80156
160	15365	80069
161	15459	79968
162	15558	79894
163	15655	79803
164	15749	79702
165	15861	79689
166	15942	79521
167	16050	79489
168	16126	79296
169	16223	79209
170	16311	79076
171	16406	78978
172	16502	78888
173	16618	78888
174	16705	78756
175	16807	78687
176	16906	78611
177	16994	78479
178	17089	78380
179	17183	78279
180	17276	78174
181	17381	78121
182	17476	78024
183	17569	77915
184	17679	77885
185	17773	77782
186	17875	77713
187	17985	77680
188	18083	77595
189	18184	77521
190	18276	77412
191	18372	77315
192	18467	77217
193	18560	77114
194	18719	77278
195	18814	77179
