iter	Passed	Remaining
0	28	28066
1	102	51028
2	176	58730
3	221	55231
4	302	60104
5	387	64135
6	468	66399
7	557	69103
8	652	71891
9	748	74101
10	868	78073
11	953	78535
12	1038	78870
13	1070	75372
14	1138	74786
15	1216	74836
16	1289	74572
17	1360	74247
18	1445	74624
19	1528	74920
20	1593	74292
21	1666	74067
22	1749	74299
23	1832	74525
24	1914	74669
25	1992	74640
26	2071	74664
27	2152	74729
28	2232	74753
29	2300	74386
30	2382	74468
31	2478	74981
32	2582	75671
33	2656	75466
34	2733	75368
35	2823	75618
36	2911	75766
37	2994	75807
38	3081	75932
39	3177	76263
40	3269	76469
41	3346	76328
42	3424	76214
43	3521	76521
44	3600	76400
45	3683	76393
46	3769	76440
47	3863	76630
48	3949	76648
49	4035	76679
50	4112	76519
51	4206	76690
52	4298	76812
53	4383	76784
54	4490	77151
55	4589	77358
56	4685	77522
57	4779	77621
58	4859	77503
59	4948	77532
60	5046	77680
61	5141	77790
62	5231	77806
63	5316	77758
64	5408	77798
65	5504	77902
66	5632	78436
67	5718	78374
68	5824	78583
69	5921	78672
70	6012	78669
71	6115	78818
72	6211	78876
73	6299	78828
74	6387	78782
75	6482	78808
76	6614	79287
77	6700	79206
78	6787	79132
79	6897	79316
80	6999	79416
81	7095	79435
82	7179	79319
83	7261	79189
84	7352	79149
85	7444	79117
86	7527	78995
87	7631	79087
88	7719	79020
89	7813	79005
90	7917	79087
91	8003	78986
92	8095	78953
93	8182	78862
94	8278	78859
95	8367	78797
96	8466	78816
97	8563	78823
98	8669	78904
99	8759	78839
100	8864	78905
101	8961	78900
102	9054	78856
103	9139	78741
104	9236	78728
105	9327	78665
106	9411	78543
107	9498	78451
108	9598	78461
109	9702	78501
110	9788	78396
111	9885	78377
112	9966	78234
113	10066	78236
114	10163	78212
115	10259	78180
116	10360	78190
117	10448	78100
118	10547	78087
119	10634	77989
120	10716	77853
121	10799	77722
122	10897	77696
123	10995	77679
124	11097	77683
125	11178	77543
126	11263	77427
127	11355	77362
128	11442	77260
129	11531	77171
130	11693	77572
131	11792	77544
132	11890	77513
133	11978	77411
134	12075	77375
135	12193	77462
136	12289	77412
137	12378	77322
138	12467	77228
139	12544	77057
140	12633	76968
141	12705	76769
142	12807	76755
143	12895	76655
144	12976	76517
145	13050	76338
146	13127	76173
147	13221	76112
148	13313	76041
149	13409	75985
150	13498	75896
151	13594	75843
152	13687	75774
153	13792	75771
154	13885	75696
155	13975	75612
156	14064	75516
157	14160	75463
158	14258	75418
159	14352	75348
160	14447	75288
161	14546	75248
162	14645	75202
163	14725	75065
164	14832	75059
165	14927	74997
166	15018	74912
167	15103	74799
168	15193	74706
169	15296	74682
170	15390	74610
171	15478	74514
172	15558	74377
173	15662	74349
174	15750	74253
175	15839	74158
176	15942	74130
177	16040	74075
178	16134	74000
179	16235	73959
180	16328	73884
181	16415	73778
182	16491	73625
183	16583	73546
184	16667	73427
185	16759	73343
186	16870	73345
187	16969	73293
188	17094	73353
189	17189	73279
190	17296	73260
191	17389	73179
192	17477	73079
193	17569	72994
194	17665	72926
195	17757	72841
196	17858	72792
197	17946	72693
198	18032	72581
199	18125	72501
200	18208	72381
201	18321	72378
202	18409	72278
203	18503	72201
204	18603	72145
205	18701	72083
206	18786	71970
207	18898	71957
208	18985	71852
209	19077	71768
210	19152	71618
211	19227	71468
212	19335	71440
213	19435	71386
214	19531	71311
215	19617	71205
216	19706	71105
217	19805	71043
218	19903	70979
219	19994	70890
220	20098	70845
221	20189	70754
222	20290	70699
223	20370	70567
224	20462	70482
225	20557	70405
226	20653	70331
227	20749	70257
228	20839	70161
229	20945	70122
230	21035	70026
231	21130	69948
232	21217	69843
233	21315	69775
234	21407	69689
235	21507	69625
236	21595	69526
237	21695	69460
238	21767	69310
239	21861	69227
240	21954	69142
241	22031	69006
242	22127	68931
243	22211	68819
244	22289	68688
245	22392	68635
246	22474	68516
247	22557	68401
248	22652	68320
249	22749	68248
250	22850	68186
251	23014	68312
252	23119	68261
253	23210	68169
254	23311	68104
255	23406	68026
256	23486	67900
257	23570	67788
258	23663	67702
259	23748	67592
260	23828	67467
261	23921	67382
262	24000	67255
263	24105	67204
264	24193	67102
265	24281	67001
266	24381	66933
267	24496	66907
268	24586	66813
269	24677	66719
270	24766	66623
271	24859	66535
272	24936	66406
273	25026	66311
274	25132	66258
275	25230	66183
276	25330	66116
277	25423	66028
278	25518	65945
279	25614	65865
280	25723	65819
281	25816	65731
282	25892	65600
283	25976	65489
284	26082	65435
285	26180	65359
286	26271	65267
287	26377	65211
288	26479	65144
289	26586	65090
290	26671	64981
291	26761	64886
292	26842	64769
293	26933	64677
294	27016	64565
295	27105	64467
296	27203	64391
297	27296	64303
298	27393	64222
299	27530	64237
300	27631	64168
301	27716	64059
302	27803	63957
303	27904	63887
304	28010	63827
305	28129	63795
306	28235	63736
307	28369	63739
308	28476	63681
309	28579	63613
310	28677	63533
311	28763	63426
312	28864	63354
313	28955	63258
314	29046	63165
315	29135	63064
316	29235	62989
317	29336	62916
318	29445	62860
319	29526	62744
320	29634	62684
321	29754	62649
322	29854	62575
323	29938	62463
324	30037	62385
325	30131	62295
326	30240	62238
327	30420	62325
328	30531	62269
329	30630	62188
330	30739	62128
331	30834	62041
332	30951	61995
333	31037	61889
334	31135	61806
335	31273	61803
336	31367	61711
337	31453	61604
338	31549	61516
339	31653	61444
340	31753	61364
341	31860	61298
342	31955	61209
343	32059	61135
344	32151	61041
345	32288	61030
346	32380	60935
347	32480	60854
348	32573	60761
349	32675	60683
350	32771	60593
351	32879	60528
352	32970	60430
353	33058	60327
354	33155	60240
355	33275	60195
356	33370	60104
357	33468	60018
358	33566	59933
359	33658	59837
360	33747	59736
361	33840	59641
362	33944	59566
363	34026	59453
364	34128	59375
365	34222	59282
366	34412	59355
367	34511	59270
368	34605	59175
369	34710	59101
370	34804	59007
371	34914	58941
372	35010	58851
373	35107	58762
374	35200	58667
375	35290	58567
376	35395	58492
377	35483	58388
378	35575	58291
379	35672	58203
380	35761	58100
381	35862	58017
382	35938	57895
383	36026	57792
384	36123	57703
385	36232	57634
386	36325	57539
387	36448	57491
388	36542	57397
389	36643	57314
390	36751	57241
391	36871	57187
392	36979	57116
393	37089	57046
394	37196	56971
395	37291	56878
396	37394	56798
397	37532	56769
398	37629	56679
399	37737	56606
400	37833	56513
401	37942	56441
402	38057	56378
403	38155	56288
404	38252	56197
405	38351	56110
406	38474	56057
407	38570	55965
408	38669	55876
409	38758	55774
410	38859	55689
411	38949	55587
412	39034	55480
413	39144	55407
414	39244	55321
415	39356	55249
416	39449	55153
417	39552	55070
418	39664	54999
419	39774	54927
420	39879	54846
421	39971	54747
422	40063	54648
423	40154	54549
424	40249	54455
425	40354	54374
426	40479	54320
427	40599	54258
428	40700	54172
429	40796	54079
430	40898	53993
431	40997	53903
432	41103	53823
433	41211	53746
434	41316	53664
435	41419	53579
436	41537	53514
437	41631	53417
438	41733	53331
439	41834	53244
440	41937	53159
441	42037	53069
442	42134	52977
443	42218	52868
444	42308	52766
445	42394	52660
446	42524	52608
447	42644	52544
448	42743	52454
449	42838	52358
450	42941	52271
451	43032	52171
452	43120	52068
