iter	MAE
0	745.4829326
1	688.4590651
2	637.756555
3	591.3545152
4	548.5145807
5	510.7762888
6	476.5984523
7	442.8673855
8	416.1739441
9	390.4064283
10	365.790439
11	342.5237768
12	321.9729096
13	306.5928703
14	287.0767837
15	270.4597321
16	256.2918165
17	243.1001706
18	230.578111
19	218.6824976
20	207.5910479
21	199.0858757
22	191.2856325
23	182.7415747
24	175.7699357
25	169.0834759
26	163.9930853
27	158.5063275
28	154.0715702
29	150.272578
30	146.5947819
31	142.945364
32	139.7016093
33	136.8964599
34	134.4175012
35	132.1396721
36	129.7417749
37	128.0118221
38	126.2972985
39	124.7123707
40	123.5886467
41	122.4304067
42	121.2335204
43	120.1888531
44	119.1256728
45	118.1522483
46	117.221588
47	116.5622923
48	115.9128196
49	115.1780387
50	114.3854442
51	113.6357546
52	113.0862188
53	112.6600522
54	112.047566
55	111.5445058
56	111.2330095
57	110.7550472
58	110.4666698
59	110.0016267
60	109.7260235
61	109.307942
62	108.8453157
63	108.6402619
64	108.2063226
65	107.9968526
66	107.6240565
67	107.3539633
68	107.0875782
69	106.7958004
70	106.4738053
71	106.3313006
72	106.1459195
73	105.8743223
74	105.5629239
75	105.4158468
76	105.1253457
77	104.852039
78	104.7125497
79	104.5567681
80	104.3352805
81	104.1934869
82	103.9656781
83	103.8303524
84	103.605759
85	103.3727047
86	103.135662
87	102.999776
88	102.9143861
89	102.7314356
90	102.6548762
91	102.3207604
92	102.2428615
93	102.0651842
94	101.9562513
95	101.771668
96	101.6334361
97	101.5537559
98	101.428454
99	101.1897024
100	101.0581985
101	100.9721425
102	100.8896034
103	100.7605496
104	100.66882
105	100.5853328
106	100.4591234
107	100.3634932
108	100.2745956
109	100.1875266
110	99.913289
111	99.83454832
112	99.66294378
113	99.51256326
114	99.33744911
115	99.27415777
116	99.22831123
117	99.05514696
118	98.83374645
119	98.74640148
120	98.67673466
121	98.54509294
122	98.44227925
123	98.36768537
124	98.18151293
125	98.05403095
126	97.99181105
127	97.91711521
128	97.86787879
129	97.6873201
130	97.60788207
131	97.51596723
132	97.42496242
133	97.31364115
134	97.2645144
135	97.11611692
136	97.05960336
137	97.00891082
138	96.83794767
139	96.67040225
140	96.50816855
141	96.40547815
142	96.29764439
143	96.19203047
144	96.04860442
145	95.8524198
146	95.73902061
147	95.68637895
148	95.61984114
149	95.58462836
150	95.51928768
151	95.40245745
152	95.33296575
153	95.22835955
154	95.09480371
155	94.95595621
156	94.88313352
157	94.71917818
158	94.58803383
159	94.52872159
160	94.38704574
161	94.29248142
162	94.22332716
163	94.09344206
164	94.0080434
165	93.88156116
166	93.74754357
167	93.65542722
168	93.61208613
169	93.49161243
170	93.43289721
171	93.29700373
172	93.19107922
173	93.11963098
174	93.02709071
175	92.9666587
176	92.88426937
177	92.7589962
178	92.66971488
179	92.6306874
180	92.55248415
181	92.47483305
182	92.39406405
183	92.27450428
184	92.18579192
185	92.13805606
186	92.06895215
187	92.02467609
188	91.98760076
189	91.93128725
190	91.89575848
191	91.86045154
192	91.72444831
193	91.64599686
194	91.615005
195	91.54662505
196	91.47197019
197	91.3893786
198	91.31655452
199	91.25121432
200	91.19265142
201	91.13187871
202	91.06681559
203	91.0365628
204	91.00101568
205	90.95602343
206	90.92888016
207	90.86628221
208	90.80735066
209	90.76551057
210	90.74307893
211	90.69429882
212	90.54728537
213	90.48521737
214	90.44565045
215	90.32850431
216	90.30172973
217	90.22671285
218	90.20612662
219	90.18355791
220	90.15219487
221	90.07745383
222	90.01753341
223	89.96690939
224	89.9415052
225	89.91993614
226	89.89921259
227	89.863545
228	89.81573356
229	89.76808581
230	89.69666803
231	89.67075503
232	89.59530814
233	89.5441778
234	89.52171183
235	89.44554073
236	89.36977429
237	89.26182209
238	89.20068217
239	89.12624327
240	89.02964688
241	88.97868237
242	88.94628371
243	88.86532979
244	88.84720111
245	88.78889849
246	88.71148617
247	88.67876387
248	88.59971699
249	88.57243743
250	88.5346497
251	88.4824348
252	88.43151051
253	88.33325137
254	88.27899045
255	88.20045785
256	88.17080921
257	88.09215733
258	88.07217243
259	88.01567556
260	87.95115628
261	87.93053118
262	87.83039144
263	87.7611474
264	87.63292157
265	87.58895037
266	87.56052529
267	87.54633849
268	87.49719591
269	87.4619056
270	87.40350015
271	87.36484345
272	87.3388386
273	87.31237915
274	87.29346542
275	87.23944397
276	87.19661365
277	87.09899341
278	87.08008674
279	86.96943734
280	86.93684045
281	86.89247709
282	86.7954726
283	86.74309238
284	86.70152872
285	86.67185291
286	86.61762789
287	86.59691565
288	86.51590388
289	86.49124934
290	86.45214966
291	86.40473632
292	86.29196573
293	86.2366648
294	86.2050645
295	86.12366969
296	86.07628586
297	86.02047115
298	85.9698312
299	85.94493996
300	85.9118346
301	85.84944601
