iter	Passed	Remaining
399	46751	70126
400	46858	69995
401	47013	69935
402	47116	69798
403	47230	69675
404	47335	69542
405	47428	69390
406	47551	69283
407	47661	69156
408	47776	69036
409	47895	68922
410	48014	68808
411	48109	68661
412	48229	68549
413	48319	68393
414	48421	68256
415	48530	68129
416	48648	68014
417	48762	67894
418	48875	67772
419	48987	67650
420	49096	67521
421	49212	67404
422	49318	67273
423	49414	67129
424	49529	67009
425	49634	66877
426	49725	66728
427	49838	66606
428	49934	66462
429	50051	66347
430	50158	66218
431	50258	66080
432	50379	65969
433	50486	65842
434	50612	65738
435	50721	65611
436	50829	65484
437	50932	65351
438	51044	65230
439	51150	65100
440	51258	64973
441	51356	64834
442	51463	64706
443	51569	64577
444	51690	64467
445	51799	64343
446	51894	64200
447	52018	64093
448	52108	63946
449	52221	63825
450	52321	63690
451	52421	63555
452	52532	63433
453	52651	63320
454	52755	63191
455	52869	63072
456	52989	62961
457	53106	62846
458	53225	62734
459	53338	62614
460	53455	62500
461	53579	62393
462	53707	62291
463	53817	62168
464	53952	62073
465	54048	61935
466	54149	61802
467	54271	61693
468	54371	61559
469	54461	61413
470	54583	61304
471	54690	61178
472	54779	61033
473	54900	60923
474	54999	60789
475	55112	60669
476	55197	60520
477	55295	60385
478	55411	60269
479	55517	60144
480	55635	60031
481	55725	59887
482	55816	59745
483	55918	59615
484	56023	59488
485	56127	59361
486	56230	59232
487	56326	59096
488	56440	58980
489	56535	58843
490	56650	58727
491	56741	58586
492	56839	58453
493	56931	58314
494	57029	58181
495	57139	58060
496	57232	57923
497	57336	57797
498	57445	57676
499	57558	57558
500	57670	57439
501	57779	57318
502	57883	57193
503	57989	57068
504	58129	56978
505	58234	56853
506	58346	56735
507	58456	56615
508	58557	56486
509	58652	56352
510	58768	56238
511	58860	56101
512	58959	55971
513	59071	55853
514	59173	55726
515	59283	55606
516	59396	55490
517	59495	55360
518	59592	55229
519	59715	55121
520	59824	55001
521	59924	54873
522	60028	54749
523	60122	54614
524	60218	54483
525	60316	54353
526	60424	54233
527	60527	54108
528	60633	53985
529	60760	53881
530	60873	53766
531	60975	53639
532	61083	53519
533	61184	53393
534	61287	53268
535	61393	53146
536	61500	53025
537	61614	52910
538	61732	52799
539	61836	52675
540	61958	52567
541	62058	52440
542	62167	52321
543	62280	52206
544	62384	52082
545	62489	51960
546	62605	51847
547	62703	51719
548	62800	51590
549	62897	51461
550	63006	51342
551	63095	51207
552	63206	51090
553	63312	50970
554	63417	50848
555	63517	50722
556	63614	50594
557	63728	50480
558	63848	50370
559	63969	50261
560	64074	50140
561	64185	50023
562	64296	49906
563	64415	49796
564	64528	49681
565	64643	49567
566	64766	49460
567	64871	49338
568	64967	49210
569	65065	49084
570	65159	48955
571	65275	48842
572	65384	48724
573	65475	48593
574	65587	48477
575	65700	48362
576	65801	48239
577	65912	48122
578	66021	48005
579	66130	47887
580	66225	47759
581	66326	47636
582	66426	47512
583	66523	47386
584	66635	47271
585	66740	47150
586	66856	47039
587	66942	46905
588	67052	46788
589	67145	46660
590	67250	46540
591	67359	46423
592	67475	46311
593	67581	46192
594	67695	46078
595	67801	45959
596	67904	45838
597	68007	45717
598	68125	45606
