iter	MAE
0	746.377345
1	689.2096713
2	638.1363656
3	591.4894148
4	548.5323328
5	510.7848559
6	476.9074208
7	447.3702489
8	417.9968973
9	393.1645874
10	364.346807
11	343.6523542
12	323.3886044
13	301.0739763
14	283.3512501
15	267.2981388
16	252.9701112
17	238.225756
18	226.1850899
19	213.828801
20	203.3520714
21	195.1489757
22	186.2429877
23	178.9666197
24	172.6434432
25	166.2804616
26	160.7597198
27	155.9203175
28	151.4146235
29	147.2800231
30	144.1628564
31	141.1034184
32	138.2244895
33	135.8163176
34	133.283754
35	131.1963501
36	129.2110417
37	127.6339183
38	125.8846103
39	124.3083226
40	122.6195151
41	121.3517811
42	120.104879
43	119.0578746
44	117.9943467
45	117.3153974
46	116.3740217
47	115.5057682
48	114.5679477
49	113.9276843
50	113.3674135
51	112.6407044
52	111.9680463
53	111.4125087
54	110.7824422
55	110.1368895
56	109.7994441
57	109.3537741
58	108.9896415
59	108.5929397
60	108.2776296
61	107.8566747
62	107.4664776
63	107.2563288
64	107.0828256
65	106.8543593
66	106.5967647
67	106.2307715
68	105.9948971
69	105.8681296
70	105.5941388
71	105.3749004
72	105.1301913
73	104.9284953
74	104.6305502
75	104.4538722
76	104.0703925
77	103.7941573
78	103.5535515
79	103.45688
80	103.3564435
81	103.0740707
82	102.9189759
83	102.7435691
84	102.5298431
85	102.4422084
86	102.2862348
87	102.0084392
88	101.7970861
89	101.716051
90	101.5949604
91	101.3670365
92	101.2784641
93	101.0432293
94	100.8909097
95	100.6947821
96	100.5550421
97	100.417481
98	100.2092056
99	100.0569484
100	99.85603444
101	99.66973832
102	99.61634533
103	99.52266441
104	99.42718545
105	99.37145567
106	99.24230705
107	99.06938875
108	98.94393274
109	98.76169885
110	98.63278025
111	98.52119712
112	98.47664595
113	98.35540501
114	98.22382947
115	98.14343646
116	97.95749743
117	97.88203868
118	97.738229
119	97.59253564
120	97.44472117
121	97.3577059
122	97.24403892
123	97.08277597
124	97.04738982
125	96.96489473
126	96.93237314
127	96.80024269
128	96.69231465
129	96.46960638
130	96.3436574
131	96.2722823
132	96.13772253
133	96.00013496
134	95.90299897
135	95.76929085
136	95.72276005
137	95.63046895
138	95.49821964
139	95.42951172
140	95.3418203
141	95.26608092
142	95.18234758
143	95.06879981
144	94.9911781
145	94.8820633
146	94.76803258
147	94.65516892
148	94.54336026
149	94.47128525
150	94.37215788
151	94.20009293
152	94.13330445
153	94.04569532
154	93.91493501
155	93.75746773
156	93.67773358
157	93.57991444
158	93.51308053
159	93.48759622
160	93.36866856
161	93.31455196
162	93.20343118
163	93.14996255
164	92.97284129
165	92.75442565
166	92.66729785
167	92.61823375
168	92.47466763
169	92.40722116
170	92.3263077
171	92.20880446
172	92.17911222
173	92.06025649
174	92.0233095
175	91.96821941
176	91.77300106
177	91.68645246
178	91.51720471
179	91.49045012
180	91.43666772
181	91.3811569
182	91.28521622
183	91.17800463
184	91.14415658
185	91.04482991
186	90.93947884
187	90.8572414
188	90.76115915
189	90.63255329
190	90.58720044
191	90.50293114
192	90.42874053
193	90.36000534
194	90.28345405
195	90.23255027
196	90.20060922
197	90.17347036
198	90.11095809
199	90.02114204
200	89.97391234
201	89.91219868
202	89.85853888
203	89.77932554
204	89.74595029
205	89.70819386
206	89.65527733
207	89.61119017
208	89.5740181
209	89.5250199
210	89.46313659
211	89.37870874
212	89.29237063
213	89.25363879
214	89.230026
215	89.08589714
216	88.96361484
217	88.87208355
218	88.84394488
219	88.81887919
220	88.72161162
221	88.68772234
222	88.60390683
223	88.56637563
224	88.52382174
225	88.48882433
226	88.45356391
227	88.41255878
228	88.38318202
229	88.31880247
230	88.28335469
231	88.23340858
232	88.1997543
233	88.14477982
234	88.08642285
235	88.03326122
236	87.99731091
237	87.96026794
238	87.92294204
239	87.85367265
240	87.80047318
241	87.73761335
242	87.69543321
243	87.66371085
244	87.60145317
245	87.57467615
246	87.54938738
247	87.50597911
248	87.484597
249	87.44172436
250	87.39946232
251	87.36611993
252	87.32527094
253	87.27866112
254	87.25634162
255	87.15682476
256	87.09932168
257	87.04005458
258	86.99263319
259	86.94791149
260	86.86992095
261	86.80640157
262	86.77312194
263	86.65344533
264	86.63644553
265	86.59158256
266	86.52582239
267	86.47266478
268	86.44496665
269	86.4234817
270	86.38239096
271	86.35875278
272	86.30631635
273	86.26604354
274	86.23109433
275	86.16337072
276	86.08679148
277	86.036244
278	85.98748867
279	85.90887172
280	85.87710968
281	85.86166748
282	85.83062477
283	85.79104363
284	85.74845576
285	85.71502297
286	85.68211347
287	85.63882399
288	85.595273
289	85.5509938
290	85.48062834
291	85.44864937
292	85.43452433
293	85.35315063
294	85.29060443
295	85.27065649
296	85.23886478
297	85.21095274
298	85.16541414
299	85.11751089
300	85.09438014
301	85.07539301
302	85.03388015
303	84.99122507
304	84.92723383
305	84.90229398
306	84.87450085
307	84.83352723
308	84.81044818
309	84.73799189
310	84.65218409
311	84.63822247
312	84.60906326
313	84.54996066
314	84.50457011
315	84.47363898
316	84.4402733
317	84.37972973
318	84.32935378
319	84.31617568
320	84.25183085
321	84.21801104
322	84.15880676
323	84.12772887
324	84.06646081
325	84.03826452
326	84.00082426
327	83.93959506
328	83.91673521
329	83.8891391
330	83.84047033
331	83.80330017
332	83.77319204
333	83.72481146
334	83.67619146
335	83.6248438
336	83.61000454
337	83.57805863
338	83.57069947
339	83.53173277
340	83.51318945
341	83.48110681
342	83.46204871
343	83.43115845
344	83.35357007
345	83.31525484
346	83.28404477
347	83.23315531
348	83.1986715
349	83.13401063
350	83.11302973
351	83.08955444
352	83.05973323
353	83.02790408
354	83.00398203
355	82.98392003
356	82.947166
357	82.91816762
358	82.89487711
359	82.83956986
360	82.81417401
361	82.7684868
362	82.74530413
363	82.72429223
364	82.67887372
365	82.66977491
366	82.62059057
367	82.60149396
368	82.56086819
369	82.50168527
370	82.45721744
371	82.42550584
372	82.38682263
373	82.34362056
374	82.28485243
375	82.23112632
376	82.21391798
377	82.18889216
378	82.14045359
379	82.11363255
380	82.0778179
381	82.05328048
382	82.00076586
383	81.97281228
384	81.96695624
385	81.93135581
386	81.90647496
387	81.88781198
388	81.87261642
389	81.84341816
390	81.81657454
391	81.79421268
392	81.75134135
393	81.70414339
394	81.66418299
395	81.59820483
396	81.55865923
397	81.54794244
398	81.52178877
399	81.46412295
400	81.44767583
401	81.43277442
402	81.3995059
403	81.36367312
404	81.32506636
405	81.28072118
406	81.26591537
407	81.24074349
408	81.22165261
409	81.19804817
410	81.1782255
411	81.14799699
412	81.13022272
413	81.10077932
414	81.08194704
415	81.05952608
416	81.03433398
417	81.00749468
418	80.98868728
419	80.96931094
420	80.9599832
421	80.93300543
422	80.91307226
423	80.86602101
424	80.8316752
425	80.79100288
426	80.70260138
427	80.65547051
428	80.63661238
429	80.55214199
430	80.52393954
431	80.49005251
432	80.46910147
433	80.42866716
434	80.40034831
435	80.37165967
436	80.33923972
437	80.31583886
438	80.29789356
439	80.27770785
440	80.23592368
441	80.1956663
442	80.16973747
443	80.14907277
444	80.10459034
445	80.07889093
446	80.03424307
447	79.99089521
448	79.94683632
449	79.92426148
450	79.91046402
451	79.90665017
452	79.88540627
453	79.87431288
454	79.85856121
455	79.84246115
456	79.81204072
457	79.76945179
458	79.73273145
459	79.68174997
460	79.6671181
461	79.64455163
462	79.6098336
463	79.57323569
464	79.54001447
465	79.53173806
466	79.49119632
467	79.47820374
468	79.41500383
469	79.38452663
470	79.32872666
471	79.28845369
472	79.26681844
473	79.25407745
474	79.24243789
475	79.22762023
476	79.16655487
477	79.15500846
478	79.10450485
479	79.0515988
480	79.01697648
481	78.99740112
482	78.97795933
483	78.95835694
484	78.93120042
485	78.91833646
486	78.82712967
487	78.78715086
488	78.76744228
489	78.71468566
490	78.69625793
491	78.64895573
492	78.62000889
493	78.5827131
494	78.55078681
495	78.51707675
496	78.4719371
497	78.45790551
498	78.42776632
499	78.38537174
500	78.33226051
501	78.29993351
502	78.25496856
503	78.24984969
504	78.22568446
505	78.18801418
506	78.176796
507	78.16285538
508	78.13973346
509	78.12027249
510	78.11815265
511	78.07065643
512	78.02230176
513	78.00020335
514	77.9733504
515	77.96193931
516	77.91768751
517	77.90631173
518	77.8555748
519	77.8158236
520	77.80238053
521	77.77192567
522	77.75477438
523	77.72772487
524	77.71583349
525	77.66498221
526	77.63659447
527	77.62898274
528	77.59402849
529	77.58548662
530	77.56250987
531	77.55029601
532	77.49742145
533	77.46164163
534	77.40828903
535	77.39217647
536	77.35825429
537	77.33832158
538	77.31467441
539	77.3000288
540	77.28114372
541	77.24893874
542	77.23961432
543	77.22356059
544	77.19886872
545	77.16665124
546	77.15233057
547	77.12695722
548	77.09065156
549	77.07489452
550	77.02924194
551	77.00106061
552	76.96400349
553	76.95446863
554	76.926569
555	76.90441148
556	76.87937198
557	76.867242
558	76.85086488
559	76.80460102
560	76.78159235
561	76.70566842
562	76.69430829
563	76.68347087
564	76.66002016
565	76.62879559
566	76.61695357
567	76.58150135
568	76.54885636
569	76.52268362
570	76.51168275
571	76.50362111
572	76.48422543
573	76.47229434
574	76.44420296
575	76.43140055
576	76.41238567
577	76.37772837
578	76.36371925
579	76.35095945
580	76.33203773
581	76.29995566
582	76.28783246
583	76.27450492
584	76.2379851
585	76.22582614
586	76.20884587
587	76.18394929
588	76.16909225
589	76.14985386
590	76.1369182
591	76.12822968
592	76.12217295
593	76.10163547
594	76.09583563
595	76.08687143
596	76.07859075
597	76.07300589
598	76.05349311
599	76.0385752
600	76.01221949
601	75.99674255
602	75.97993619
603	75.96506835
604	75.95264354
605	75.9352192
606	75.91810565
607	75.90145291
608	75.87450895
609	75.85892582
610	75.83890869
611	75.83475996
612	75.80979555
613	75.79232131
614	75.78659848
615	75.77671184
616	75.7144911
617	75.71016356
618	75.68590842
619	75.66066173
620	75.65351889
621	75.59921324
622	75.58890956
623	75.56489503
624	75.54792445
625	75.53316155
626	75.519129
627	75.49880957
628	75.4771509
629	75.46974096
630	75.45648812
631	75.45106901
632	75.40256969
633	75.38588205
634	75.3807189
635	75.35259025
636	75.3344746
637	75.32733578
638	75.3085872
639	75.29317994
640	75.28044915
641	75.25520721
642	75.24515326
643	75.21330987
644	75.18771308
645	75.17992573
646	75.16422959
647	75.13365821
648	75.13097416
649	75.11699704
650	75.09662786
651	75.07211819
652	75.02824463
653	75.0117466
654	74.99677024
655	74.98531245
656	74.97355729
657	74.92826018
658	74.89497187
659	74.88130595
660	74.8405822
661	74.83173811
662	74.8244551
663	74.81008457
664	74.8038704
665	74.79581928
666	74.79008004
667	74.77943811
668	74.75975508
669	74.74077748
670	74.69476256
671	74.68186773
672	74.66221811
673	74.64505137
674	74.6262942
675	74.61478359
676	74.60703335
677	74.53546517
678	74.51464997
679	74.50871614
680	74.50191498
681	74.47777493
682	74.46877613
683	74.45682399
684	74.43442698
685	74.4173618
686	74.39307844
687	74.38022239
688	74.36728298
689	74.34159059
690	74.33359635
691	74.32428885
692	74.31874546
693	74.30313742
694	74.29894402
695	74.29425482
696	74.28409562
697	74.27732249
698	74.2650368
699	74.23650792
700	74.22501615
701	74.21216298
702	74.17263818
703	74.14992621
704	74.13393432
705	74.12817091
706	74.10500011
707	74.09583573
708	74.07714071
709	74.05388638
710	74.03759309
711	73.99983541
712	73.98184473
713	73.96029291
714	73.95220043
715	73.94217846
716	73.92786565
717	73.92058043
718	73.90947682
719	73.89160443
720	73.87785164
721	73.85815381
722	73.85129951
723	73.83893862
724	73.82638772
725	73.81707725
726	73.80444493
727	73.79663937
728	73.78687363
729	73.74466515
730	73.73073447
731	73.71572922
732	73.69872167
733	73.67022802
734	73.65871812
735	73.65355872
736	73.64057422
737	73.61836613
738	73.60975573
739	73.60167508
740	73.59065222
741	73.58761211
742	73.57884718
743	73.55933884
744	73.5501208
745	73.51057137
746	73.45496324
747	73.44996208
748	73.44261799
749	73.43225517
750	73.40945485
751	73.40198861
752	73.39082452
753	73.38419924
754	73.36656108
755	73.35801933
756	73.33848328
757	73.32288822
758	73.3138421
759	73.28189557
760	73.27589496
761	73.26520991
762	73.25080964
763	73.23165022
764	73.20965424
765	73.19783604
766	73.1841093
767	73.15900445
768	73.13027081
769	73.12429726
770	73.11911689
771	73.11108968
772	73.10383412
773	73.09906995
774	73.09146369
775	73.08644706
776	73.07654681
777	73.06240904
778	73.03501464
779	73.03065462
780	73.02087424
781	72.99895173
782	72.96930552
783	72.95377545
784	72.9447122
785	72.91030701
786	72.90366165
787	72.89900911
788	72.89589182
789	72.89076386
790	72.87699613
791	72.84870922
792	72.84398197
793	72.83039221
794	72.78631887
795	72.76992887
796	72.76189247
797	72.73790804
798	72.72614487
799	72.70880447
800	72.69786615
801	72.68612958
802	72.67512767
803	72.63786191
804	72.62760508
805	72.61774993
806	72.61368323
807	72.60377453
808	72.59773731
809	72.59151091
810	72.58408629
811	72.57576385
812	72.57045432
813	72.53652894
814	72.50454469
815	72.49463756
816	72.47544782
817	72.45986685
818	72.44413969
819	72.43853961
820	72.42379751
821	72.42198338
822	72.40470482
823	72.36735349
824	72.34415677
825	72.33408374
826	72.32320881
827	72.31610867
828	72.28551104
829	72.27885557
830	72.27311219
831	72.26255312
832	72.25831418
833	72.2394616
834	72.22717973
835	72.21812202
836	72.20928608
837	72.18704038
838	72.17834869
839	72.16007707
840	72.15439755
841	72.14147147
842	72.12478769
843	72.11792931
844	72.10849264
845	72.10417915
846	72.09566973
847	72.0908258
848	72.07800066
849	72.0632915
850	72.05134767
851	72.04363478
852	72.036818
853	72.03010327
854	72.01904339
855	72.00675217
856	72.00148718
857	71.99509231
858	71.98874034
859	71.98117977
860	71.96306725
861	71.944273
862	71.92709125
863	71.90890229
864	71.89493917
865	71.8914073
866	71.86782167
867	71.86505268
868	71.84945555
869	71.84379228
870	71.83832346
871	71.82088716
872	71.81705378
873	71.80532469
874	71.79652262
875	71.79255327
876	71.77156174
877	71.76330102
878	71.74069104
879	71.72760716
880	71.71956726
881	71.69782161
882	71.674609
883	71.66257896
884	71.65958765
885	71.64921696
886	71.63792204
887	71.6262615
888	71.61968394
889	71.60941903
890	71.59920121
891	71.59187962
892	71.57724517
893	71.55841578
894	71.55113277
895	71.51975017
896	71.51209505
897	71.50676207
898	71.50301699
899	71.48367685
900	71.47726838
901	71.45754855
902	71.43709929
903	71.42329757
904	71.41777346
905	71.40446102
906	71.36931405
907	71.35911547
908	71.34807217
909	71.32873005
910	71.31009437
911	71.30472985
912	71.295168
913	71.26257548
914	71.23737378
915	71.23571371
916	71.2299706
917	71.2234371
918	71.21914125
919	71.21043812
920	71.19914025
921	71.19079936
922	71.17339479
923	71.16590121
924	71.14075601
925	71.11306445
926	71.1099447
927	71.1026507
928	71.09362279
929	71.07953956
930	71.07457759
931	71.01032086
932	70.98506516
933	70.98186558
934	70.95746697
935	70.95469649
936	70.94966327
937	70.94212064
938	70.93821982
939	70.93548044
940	70.92635262
941	70.91675116
942	70.90198228
943	70.88218853
944	70.87605692
945	70.87189273
946	70.86580047
947	70.85717469
948	70.85120553
949	70.81550522
950	70.805524
951	70.79092757
952	70.78173916
953	70.76228437
954	70.7338402
955	70.72401034
956	70.70622457
957	70.66506916
958	70.66190705
959	70.65975331
960	70.62278433
961	70.61896946
962	70.58540992
963	70.57824442
964	70.57351095
965	70.55257702
966	70.54571371
967	70.51948682
968	70.47018139
969	70.4599156
970	70.42984929
971	70.41979464
972	70.40020181
973	70.38617047
974	70.37793409
975	70.36135465
976	70.35894688
977	70.33776111
978	70.3254162
979	70.32275193
980	70.29729958
981	70.27912201
982	70.27001125
983	70.26085214
984	70.25020391
985	70.23716533
986	70.21985303
987	70.21373185
988	70.20349701
989	70.20100157
990	70.1951724
991	70.18149527
992	70.16900028
993	70.15629893
994	70.14970935
995	70.12897855
996	70.11857318
997	70.11366023
998	70.1102474
999	70.09410033
