iter	Passed	Remaining
0	30	30681
1	108	53923
2	184	61247
3	229	57115
4	309	61597
5	387	64256
6	412	58527
7	452	56161
8	514	56677
9	560	55515
10	657	59083
11	687	56563
12	728	55300
13	804	56668
14	898	58986
15	979	60259
16	1090	63084
17	1196	65288
18	1273	65775
19	1357	66527
20	1429	66644
21	1476	65615
22	1547	65714
23	1623	66026
24	1709	66670
25	1787	66965
26	1852	66772
27	1932	67073
28	2082	69711
29	2167	70080
30	2259	70614
31	2340	70810
32	2420	70930
33	2499	71011
34	2574	70975
35	2659	71224
36	2742	71371
37	2820	71412
38	2903	71541
39	3007	72169
40	3127	73160
41	3216	73374
42	3309	73661
43	3400	73887
44	3490	74074
45	3582	74298
46	3709	75207
47	3800	75384
48	3881	75328
49	3975	75534
50	4058	75511
51	4167	75972
52	4250	75948
53	4356	76318
54	4442	76326
55	4526	76301
56	4636	76709
57	4732	76868
58	4818	76843
59	4905	76845
60	4976	76605
61	5058	76531
62	5238	77906
63	5353	78299
64	5447	78355
65	5549	78529
66	5645	78621
67	5748	78788
68	5838	78778
69	5932	78814
70	6015	78704
71	6144	79192
72	6222	79022
73	6330	79212
74	6420	79186
75	6517	79234
76	6606	79187
77	6698	79184
78	6806	79346
79	6902	79377
80	7001	79439
81	7110	79606
82	7214	79708
83	7338	80026
84	7443	80123
85	7582	80590
86	7669	80482
87	7754	80366
88	7846	80314
89	7947	80354
90	8035	80271
91	8134	80282
92	8244	80410
93	8357	80548
94	8461	80607
95	8553	80549
96	8662	80642
97	8767	80694
98	8862	80657
99	8949	80545
100	9051	80563
101	9143	80497
102	9244	80509
103	9333	80411
104	9459	80628
105	9561	80638
106	9648	80525
107	9748	80514
108	9853	80546
109	9948	80492
110	10035	80377
111	10146	80448
112	10237	80363
113	10323	80230
114	10411	80124
115	10527	80227
116	10605	80040
117	10696	79953
118	10776	79783
119	10870	79716
120	10954	79580
121	11051	79532
122	11137	79408
123	11219	79258
124	11315	79210
125	11400	79077
126	11590	79674
127	11675	79540
128	11749	79332
129	11848	79292
130	11933	79158
131	12030	79109
132	12135	79110
133	12220	78975
134	12314	78904
135	12397	78759
136	12492	78691
137	12605	78738
138	12693	78623
139	12775	78477
140	12859	78343
141	12960	78311
142	13082	78404
143	13178	78336
144	13257	78174
145	13342	78042
146	13425	77904
147	13515	77805
148	13653	77982
149	13759	77973
150	13832	77773
151	13922	77675
152	14006	77539
153	14103	77475
154	14187	77344
155	14275	77233
156	14354	77077
157	14444	76976
158	14545	76934
159	14634	76832
160	14737	76800
161	14821	76667
162	14918	76604
163	14999	76463
164	15095	76392
165	15179	76261
166	15261	76124
167	15352	76029
168	15447	75957
169	15530	75827
170	15621	75730
171	15732	75734
172	15821	75632
173	15909	75523
174	16008	75470
175	16111	75432
176	16219	75417
177	16314	75338
178	16401	75226
179	16495	75145
180	16600	75115
181	16707	75092
182	16823	75109
183	16905	74973
184	17000	74892
185	17082	74760
186	17184	74710
187	17279	74631
188	17380	74581
189	17462	74446
190	17572	74428
191	17666	74347
192	17855	74657
193	17966	74644
194	18070	74599
195	18151	74458
196	18248	74384
197	18353	74340
198	18453	74276
199	18547	74189
200	18641	74103
201	18743	74044
202	18840	73971
203	18964	73999
204	19050	73879
205	19149	73809
206	19249	73742
207	19356	73704
208	19455	73631
209	19551	73550
210	19637	73429
211	19730	73338
212	19819	73228
213	19939	73234
214	20060	73243
215	20149	73136
216	20237	73022
217	20316	72878
218	20420	72825
219	20512	72724
220	20597	72604
221	20703	72556
222	20794	72454
223	20891	72373
224	21014	72384
225	21113	72309
226	21206	72213
227	21283	72065
228	21397	72040
229	21493	71956
230	21592	71881
231	21691	71807
232	21770	71664
233	21869	71590
234	21955	71473
235	22078	71475
236	22168	71367
237	22255	71254
238	22340	71134
239	22459	71120
240	22535	70973
241	22641	70918
242	22742	70848
243	22825	70722
244	22930	70662
245	23088	70766
246	23177	70658
247	23278	70585
248	23356	70446
249	23440	70321
250	23538	70239
251	23627	70131
252	23726	70052
253	23809	69927
254	23903	69835
255	23981	69695
256	24162	69856
257	24248	69738
258	24340	69637
259	24433	69540
260	24528	69450
261	24633	69388
262	24736	69319
263	24820	69197
264	24909	69089
265	25004	68996
266	25109	68933
267	25223	68893
268	25326	68823
269	25437	68774
270	25538	68698
271	25661	68681
272	25766	68615
273	25864	68531
274	25958	68437
275	26048	68329
276	26139	68226
277	26260	68201
278	26388	68193
279	26483	68100
280	26582	68016
281	26685	67942
282	26776	67840
283	26870	67743
284	26966	67653
285	27075	67593
286	27166	67489
287	27284	67453
288	27380	67362
289	27486	67293
290	27574	67184
291	27661	67070
292	27764	66994
293	27859	66899
294	27952	66801
295	28043	66698
296	28136	66598
297	28218	66474
298	28344	66452
299	28434	66346
300	28525	66243
301	28624	66158
302	28720	66065
303	28838	66024
304	28928	65918
305	29018	65813
306	29100	65690
307	29187	65576
308	29282	65483
309	29392	65421
310	29480	65311
311	29557	65178
312	29659	65099
313	29751	64999
314	29852	64917
315	29935	64796
316	30032	64707
317	30126	64610
318	30215	64504
319	30319	64428
320	30501	64517
321	30605	64442
322	30704	64356
323	30797	64257
324	30895	64167
325	30986	64064
326	31074	63954
327	31168	63857
328	31246	63728
329	31343	63636
330	31460	63586
331	31575	63531
332	31697	63491
333	31784	63378
334	31880	63285
335	31966	63171
336	32058	63069
337	32156	62981
338	32249	62882
339	32335	62769
340	32443	62699
341	32577	62677
342	32679	62595
343	32764	62480
344	32855	62377
345	32958	62297
346	33043	62182
347	33138	62087
348	33227	61980
349	33307	61856
350	33399	61756
351	33497	61664
352	33609	61601
353	33712	61521
354	33803	61418
355	33903	61330
356	33995	61229
357	34100	61152
358	34186	61040
359	34277	60938
360	34364	60827
361	34461	60736
362	34550	60630
363	34667	60572
364	34765	60482
365	34873	60409
366	34968	60314
367	35073	60234
368	35156	60118
369	35258	60035
370	35349	59932
371	35440	59828
372	35540	59742
373	35683	59726
374	35776	59627
375	35863	59517
376	35954	59415
377	36043	59310
378	36152	59236
379	36242	59132
380	36331	59027
381	36423	58926
382	36512	58820
383	36608	58726
384	36793	58774
385	36882	58667
386	36972	58564
387	37092	58506
388	37199	58428
389	37284	58316
390	37379	58219
391	37474	58123
392	37558	58009
393	37657	57920
394	37763	57840
395	37883	57781
396	37979	57686
397	38116	57653
398	38203	57544
399	38300	57450
400	38394	57351
401	38487	57251
402	38582	57156
403	38682	57065
404	38780	56973
405	38932	56960
406	39040	56882
407	39140	56792
408	39245	56709
409	39343	56615
410	39439	56520
411	39532	56419
412	39625	56320
413	39721	56224
414	39820	56132
415	39931	56058
416	40030	55965
417	40132	55877
418	40222	55774
419	40320	55681
420	40425	55597
421	40520	55499
422	40618	55406
423	40719	55317
424	40817	55223
425	40939	55162
426	41031	55060
427	41128	54965
428	41224	54869
429	41317	54769
430	41409	54667
431	41507	54574
432	41594	54466
433	41693	54374
434	41793	54283
435	41887	54185
436	42098	54236
437	42188	54132
438	42275	54023
439	42371	53927
440	42456	53816
441	42551	53718
442	42656	53633
443	42760	53547
444	42860	53455
445	42949	53349
446	43070	53283
447	43170	53192
448	43271	53101
449	43379	53019
450	43473	52919
451	43584	52841
452	43673	52735
453	43766	52635
454	43860	52536
455	43958	52442
456	44044	52332
457	44191	52296
458	44290	52202
459	44387	52107
460	44481	52008
461	44578	51911
462	44671	51811
463	44766	51713
464	44857	51610
465	44936	51493
466	45023	51386
467	45148	51323
468	45272	51257
469	45368	51160
470	45463	51061
471	45570	50976
472	45651	50863
473	45731	50748
474	45826	50650
475	45907	50537
476	45999	50435
477	46107	50351
478	46240	50294
479	46335	50196
480	46439	50108
481	46528	50003
482	46632	49914
483	46735	49825
484	46830	49727
485	46923	49627
486	47015	49525
487	47109	49426
488	47232	49357
489	47326	49258
490	47420	49158
491	47511	49056
492	47606	48958
493	47708	48867
494	47805	48771
495	47904	48677
496	48008	48587
497	48111	48498
498	48198	48391
499	48411	48411
500	48508	48314
501	48598	48211
502	48707	48126
503	48805	48030
504	48902	47934
505	49002	47839
506	49115	47759
507	49212	47662
508	49288	47545
509	49419	47481
510	49524	47392
511	49604	47279
512	49698	47180
513	49800	47087
514	49898	46991
515	49987	46887
516	50082	46788
517	50176	46689
518	50268	46587
519	50360	46486
520	50480	46411
521	50576	46313
522	50673	46216
523	50757	46107
524	50845	46003
525	50936	45900
526	51016	45788
527	51117	45695
528	51204	45590
529	51305	45497
530	51400	45399
531	51537	45337
532	51632	45238
533	51727	45140
534	51808	45029
535	51903	44931
536	52004	44838
537	52109	44748
538	52209	44654
539	52305	44556
540	52404	44461
541	52536	44393
542	52631	44295
543	52718	44190
544	52808	44087
545	52906	43991
546	53003	43894
547	53108	43804
548	53208	43710
549	53306	43614
550	53399	43514
551	53495	43417
552	53691	43399
553	53787	43301
554	53883	43204
555	53968	43096
556	54069	43003
557	54170	42909
558	54265	42810
559	54346	42700
560	54435	42597
561	54532	42500
562	54708	42464
563	54812	42372
564	54903	42271
565	54996	42170
566	55104	42081
567	55195	41979
568	55287	41878
569	55391	41786
570	55475	41679
571	55570	41580
572	55690	41500
573	55800	41413
574	55904	41320
575	56005	41226
576	56097	41125
577	56196	41029
578	56292	40931
579	56399	40841
580	56500	40746
581	56603	40653
582	56704	40558
583	56816	40471
584	56911	40372
585	56999	40269
586	57095	40171
587	57192	40073
588	57287	39974
589	57383	39876
590	57478	39778
591	57566	39674
592	57670	39581
593	57789	39499
594	57917	39422
595	58016	39326
596	58120	39234
597	58223	39140
598	58313	39037
599	58416	38944
600	58513	38846
601	58611	38750
602	58701	38647
603	58822	38565
604	58911	38462
605	59012	38367
606	59108	38269
607	59204	38171
608	59296	38070
609	59394	37973
610	59494	37878
611	59604	37788
612	59706	37693
613	59804	37597
614	60017	37572
615	60115	37474
616	60200	37369
617	60301	37273
618	60399	37176
619	60492	37075
620	60606	36988
621	60701	36889
622	60804	36794
623	60896	36694
624	61050	36630
625	61141	36528
626	61238	36430
627	61326	36327
628	61420	36227
629	61519	36130
630	61615	36032
631	61721	35938
632	61814	35838
633	61895	35731
634	62022	35650
635	62114	35550
636	62206	35448
637	62300	35348
638	62388	35245
639	62492	35152
640	62602	35061
641	62699	34963
642	62795	34864
643	62880	34760
644	62982	34664
645	63113	34585
646	63217	34491
647	63302	34386
648	63400	34289
649	63493	34189
650	63595	34093
651	63682	33990
652	63778	33891
653	63874	33792
654	63972	33695
655	64097	33612
656	64202	33517
657	64304	33422
658	64398	33323
659	64483	33218
660	64574	33117
661	64683	33025
662	64772	32923
663	64868	32825
664	64959	32724
665	65065	32630
666	65304	32603
667	65405	32506
668	65495	32405
669	65593	32307
670	65705	32216
671	65812	32122
672	65910	32024
673	66004	31924
674	66095	31823
675	66195	31726
676	66334	31648
677	66420	31545
678	66520	31447
679	66629	31354
680	66725	31256
681	66818	31155
682	66925	31061
683	67033	30968
