Model,MAE,MSE,RMSE,R2
Champion CatBoost,85.64980104675404,25798.70762698332,160.61976101022975,0.9111728006372227
Tuned CatBoost,87.27086772923802,27309.167238255533,165.25485541506953,0.907539438362329
CatBoost,87.6422074270898,27016.565244651607,164.36716595674335,0.9085301000119096
