iter	Passed	Remaining
399	37265	55898
400	37358	55804
401	37452	55713
402	37543	55616
403	37617	55495
404	37711	55403
405	37794	55295
406	37887	55202
407	37972	55096
408	38078	55022
409	38181	54943
410	38264	54836
411	38363	54751
412	38485	54700
413	38577	54604
414	38665	54504
415	38752	54401
416	38848	54313
417	38943	54222
418	39045	54141
419	39150	54064
420	39258	53992
421	39372	53927
422	39466	53835
423	39564	53748
424	39660	53658
425	39771	53589
426	39862	53492
427	39958	53402
428	40066	53328
429	40159	53234
430	40264	53156
431	40380	53092
432	40504	53038
433	40587	52931
434	40697	52859
435	40811	52792
436	40911	52707
437	41007	52617
438	41111	52537
439	41223	52466
440	41323	52380
441	41416	52286
442	41522	52207
443	41616	52114
444	41711	52022
445	41811	51936
446	41908	51845
447	41992	51740
448	42080	51640
449	42165	51535
450	42249	51429
451	42347	51342
452	42442	51249
453	42543	51164
454	42646	51081
455	42748	50998
456	42838	50899
457	42942	50818
458	43060	50753
459	43177	50686
460	43270	50592
461	43372	50507
462	43521	50477
463	43618	50386
464	43750	50337
465	43851	50250
466	43949	50160
467	44050	50074
468	44149	49986
469	44263	49914
470	44375	49840
471	44469	49746
472	44568	49656
473	44670	49571
474	44775	49489
475	44876	49402
476	44965	49301
477	45073	49222
478	45186	49149
479	45288	49062
480	45393	48979
481	45498	48896
482	45590	48799
483	45686	48707
484	45774	48605
485	45865	48507
486	45960	48413
487	46071	48336
488	46188	48266
489	46282	48171
490	46370	48070
491	46461	47972
492	46583	47906
493	46683	47817
494	46773	47718
495	46874	47630
496	46961	47528
497	47053	47431
498	47147	47336
499	47249	47249
500	47364	47175
501	47459	47081
502	47559	46992
503	47636	46880
504	47736	46791
505	47827	46693
506	47922	46598
507	48017	46504
508	48114	46412
509	48202	46311
510	48294	46214
511	48389	46120
512	48483	46025
513	48580	45933
514	48674	45838
515	48758	45734
516	48850	45637
517	48935	45534
518	49033	45443
519	49121	45343
520	49211	45244
521	49294	45139
522	49377	45034
523	49473	44941
524	49567	44846
525	49668	44758
526	49769	44669
527	49845	44558
528	49949	44473
529	50034	44369
530	50140	44286
531	50247	44203
532	50340	44106
533	50426	44005
534	50522	43912
535	50633	43831
536	50731	43740
537	50834	43653
538	50944	43572
539	51049	43486
540	51145	43393
541	51245	43303
542	51338	43207
543	51429	43110
544	51498	42993
545	51576	42886
546	51678	42797
547	51776	42706
548	51869	42610
549	51966	42517
550	52064	42426
551	52170	42341
552	52277	42257
553	52380	42168
554	52470	42071
555	52578	41987
556	52678	41896
557	52770	41799
558	52866	41706
559	52960	41611
560	53057	41519
561	53167	41436
562	53283	41358
563	53387	41270
564	53487	41180
565	53585	41088
566	53688	41000
567	53776	40900
568	53887	40818
569	53983	40724
570	54069	40623
571	54153	40520
572	54234	40415
573	54336	40326
574	54422	40225
575	54518	40131
576	54609	40034
577	54709	39943
578	54794	39841
579	54887	39745
580	54994	39660
581	55095	39570
582	55181	39469
583	55268	39369
584	55368	39278
585	55466	39186
586	55560	39090
587	55664	39003
588	55773	38918
589	55881	38832
590	55971	38734
591	56068	38641
592	56165	38548
593	56260	38454
594	56352	38357
595	56445	38261
596	56545	38170
597	56631	38070
598	56723	37973
599	56810	37873
600	56892	37770
601	56983	37673
602	57073	37575
603	57164	37478
604	57253	37380
605	57358	37292
606	57456	37200
607	57564	37113
608	57677	37031
609	57780	36941
610	57865	36840
611	57957	36744
612	58059	36654
613	58146	36554
614	58228	36452
615	58320	36355
616	58409	36257
617	58494	36156
618	58564	36046
619	58661	35954
620	58758	35860
621	58841	35759
622	58928	35659
623	59029	35568
624	59127	35476
625	59225	35383
626	59322	35290
627	59418	35196
628	59500	35094
629	59599	35002
630	59688	34904
631	59765	34800
632	59874	34714
633	59961	34615
634	60057	34521
635	60165	34434
636	60269	34345
637	60371	34254
638	60473	34163
639	60564	34067
640	60662	33974
641	60764	33884
642	60867	33793
643	60963	33700
644	61041	33596
645	61132	33500
646	61224	33403
647	61326	33313
648	61418	33217
649	61530	33131
650	61635	33042
651	61749	32958
652	61857	32870
653	61967	32784
654	62053	32684
655	62159	32595
656	62254	32501
657	62354	32408
658	62440	32309
659	62547	32221
660	62654	32133
661	62752	32039
662	62849	31946
663	62944	31851
664	63043	31758
665	63150	31669
666	63261	31583
667	63372	31496
668	63479	31407
669	63580	31315
670	63692	31229
671	63795	31138
672	63917	31056
673	64023	30966
674	64129	30877
675	64237	30788
676	64338	30696
677	64434	30601
678	64546	30514
679	64657	30427
680	64765	30337
681	64869	30246
682	64955	30147
683	65066	30059
684	65161	29964
685	65284	29882
686	65390	29792
687	65476	29692
688	65577	29600
689	65686	29511
690	65794	29421
691	65893	29328
692	65983	29230
693	66084	29138
694	66173	29040
695	66266	28944
696	66373	28854
697	66487	28766
698	66593	28676
699	66691	28581
700	66781	28484
701	66882	28391
702	66979	28297
703	67081	28204
704	67196	28117
705	67349	28046
706	67460	27957
707	67557	27862
708	67655	27768
709	67756	27675
710	67864	27585
711	67955	27487
712	68035	27385
713	68145	27296
714	68252	27205
715	68357	27114
716	68460	27021
717	68555	26925
718	68642	26826
719	68764	26741
720	68871	26650
721	68962	26553
722	69063	26460
723	69151	26361
724	69241	26263
725	69335	26167
726	69432	26073
727	69520	25974
728	69615	25879
729	69726	25789
730	69826	25695
731	69931	25603
732	70027	25508
733	70124	25412
734	70238	25323
735	70345	25232
736	70451	25140
737	70557	25048
738	70669	24959
739	70773	24866
740	70862	24768
741	70954	24671
742	71060	24579
