iter	MAE
0	746.3048667
1	689.2706665
2	638.4705026
3	595.7675435
4	553.8878227
5	511.4392222
6	476.3287418
7	446.3199011
8	418.7608652
9	391.1027372
10	367.4911497
11	345.5531328
12	324.4837947
13	305.4485908
14	286.1513795
15	269.3167458
16	254.4489355
17	241.1902671
18	228.0173236
19	217.3746847
20	207.70019
21	198.408586
22	189.6635414
23	182.4752301
24	174.9871564
25	168.4657607
26	162.4879027
27	157.111487
28	152.4095169
29	148.8611151
30	145.0031218
31	141.7527822
32	138.6971683
33	136.0153117
34	133.5005979
35	131.3324248
36	128.9452881
37	126.9358271
38	125.2701679
39	123.8330153
40	122.4932516
41	121.3216134
42	120.4498737
43	119.4993885
44	118.6738277
45	117.6775014
46	116.9620866
47	116.3577245
48	115.652257
49	115.0384045
50	114.3502356
51	113.551073
52	113.1031
53	112.5069787
54	112.013002
55	111.4324579
56	110.8756365
57	110.4477343
58	109.9580385
59	109.5487652
60	109.1384012
61	108.8124921
62	108.3330214
63	107.9759096
64	107.6050695
65	107.302604
66	106.997485
67	106.8071584
68	106.5635826
69	106.3083066
70	105.9902551
71	105.81651
72	105.6124675
73	105.3926975
74	105.2472236
75	104.9618936
76	104.8391411
77	104.6805412
78	104.3363403
79	104.1407366
80	103.9701349
81	103.8716621
82	103.6509465
83	103.4819784
84	103.3471105
85	103.016602
86	102.8734453
87	102.7165565
88	102.5800249
89	102.3651554
90	102.2549799
91	101.97772
92	101.8558345
93	101.6062942
94	101.4867071
95	101.3503504
96	101.2236984
97	101.0577173
98	100.9198084
99	100.7827099
100	100.7230017
101	100.5741624
102	100.3173734
103	100.1756442
104	100.0827971
105	99.96285992
106	99.80723734
107	99.70904029
108	99.60767214
109	99.52273655
110	99.37503327
111	99.28575134
112	99.19922827
113	99.09814832
114	99.01357941
115	98.91134581
116	98.65124256
117	98.47515304
118	98.31328738
119	98.21248557
120	98.1208687
121	97.95029061
122	97.77722489
123	97.72632256
124	97.55047967
125	97.3904018
126	97.30346025
127	97.22823829
128	97.16609526
129	97.05594588
130	96.91268749
131	96.8335543
132	96.77877252
133	96.624319
134	96.55415939
135	96.4279633
136	96.28299849
137	96.12021615
138	96.006426
139	95.94380928
140	95.82388472
141	95.76818884
142	95.62885262
143	95.48968214
144	95.40397354
145	95.29210624
146	95.20757691
147	95.10052473
148	95.02521154
149	94.92354983
150	94.83405771
151	94.79987163
152	94.65559916
153	94.5188064
154	94.33538788
155	94.26512574
156	94.14225731
157	94.03165503
158	93.93632675
159	93.85942
160	93.81326022
161	93.70661355
162	93.64954205
163	93.55702619
164	93.45222772
165	93.39377899
166	93.34318638
167	93.3056544
168	93.26364475
169	93.20543982
170	93.10997687
171	93.05035326
172	92.93965857
173	92.8517207
174	92.78530943
175	92.74554583
176	92.70538093
177	92.66380496
178	92.55721975
179	92.52657282
180	92.4800733
181	92.39978099
182	92.27874049
183	92.22693097
184	92.12879519
185	92.09226201
186	92.05563399
187	92.01924667
188	91.98162205
189	91.95828021
190	91.91069052
191	91.85244599
192	91.75050156
193	91.70078415
194	91.63856247
195	91.54886155
196	91.45018658
197	91.40277673
198	91.37088005
199	91.33190203
200	91.24146947
201	91.21170756
202	91.1251212
203	91.09545958
204	91.05499254
205	91.00573418
206	90.94579389
207	90.87763784
208	90.83222369
209	90.79746857
210	90.73249465
211	90.67140293
212	90.57011434
213	90.50905157
214	90.49385661
215	90.46726563
216	90.34206714
217	90.30320315
218	90.2523429
219	90.12153945
220	90.07461099
221	89.95239323
222	89.93778471
223	89.90021291
224	89.83040389
225	89.75376005
226	89.73598049
227	89.65815173
228	89.59217521
229	89.51468587
230	89.46895952
231	89.42090729
232	89.39855285
233	89.35505901
234	89.30701968
235	89.26209888
236	89.18193439
237	89.14793567
238	89.08242118
239	88.99892098
240	88.96527413
241	88.93185572
242	88.85892729
243	88.70887939
244	88.63484024
245	88.56740589
246	88.53941183
247	88.48244163
248	88.44699047
249	88.4264813
250	88.38527713
251	88.34511129
252	88.25594178
253	88.21492731
254	88.16499209
255	88.10680228
256	88.0818276
257	88.03524254
258	88.00087309
259	87.93333538
260	87.90444279
261	87.87101673
262	87.8183722
263	87.77789662
264	87.75205014
265	87.65153084
266	87.60074662
267	87.57468551
268	87.50502308
269	87.48979074
270	87.45114689
271	87.42374748
