iter	Passed	Remaining
0	28	28352
1	101	50583
2	173	57782
3	218	54449
4	298	59389
5	383	63610
6	453	64265
7	546	67724
8	650	71614
9	698	69117
10	789	70997
11	868	71483
12	955	72572
13	1028	72457
14	1097	72078
15	1165	71674
16	1265	73177
17	1448	79042
18	1533	79169
19	1625	79662
20	1704	79467
21	1774	78879
22	1847	78498
23	1920	78096
24	2018	78721
25	2096	78531
26	2193	79049
27	2282	79230
28	2362	79098
29	2438	78854
30	2516	78666
31	2591	78397
32	2686	78716
33	2778	78952
34	2859	78848
35	2943	78818
36	3041	79172
37	3116	78902
38	3191	78636
39	3276	78628
40	3359	78569
41	3445	78586
42	3529	78557
43	3610	78437
44	3702	78584
45	3797	78755
46	3882	78714
47	3964	78631
48	4063	78874
49	4161	79060
50	4234	78787
51	4319	78740
52	4399	78606
53	4482	78531
54	4567	78472
55	4650	78398
56	4742	78461
57	4817	78250
58	4898	78126
59	4989	78168
60	5088	78332
61	5174	78290
62	5261	78253
63	5358	78361
64	5449	78382
65	5537	78370
66	5629	78390
67	5728	78511
68	5823	78581
69	5907	78490
70	5992	78413
71	6091	78514
72	6167	78317
73	6263	78376
74	6345	78265
75	6438	78283
76	6534	78330
77	6630	78378
78	6747	78658
79	6829	78542
80	6925	78571
81	7011	78492
82	7100	78449
83	7194	78454
84	7277	78342
85	7368	78311
86	7442	78100
87	7522	77960
88	7608	77880
89	7644	77297
90	7757	77490
91	7850	77477
92	7930	77347
93	8027	77374
94	8115	77310
95	8202	77237
96	8297	77243
97	8390	77231
98	8483	77209
99	8568	77116
100	8659	77082
101	8757	77096
102	8847	77051
103	8935	76978
104	9029	76969
105	9120	76917
106	9206	76834
107	9292	76751
108	9381	76690
109	9481	76715
110	9567	76629
111	9649	76508
112	9752	76552
113	9838	76467
114	9930	76420
115	10023	76383
116	10100	76228
117	10189	76160
118	10276	76076
119	10363	75998
120	10449	75911
121	10546	75900
122	10640	75869
123	10719	75730
124	10810	75676
125	10912	75691
126	10997	75595
127	11094	75578
128	11185	75525
129	11288	75548
130	11381	75500
131	11469	75418
132	11564	75385
133	11654	75320
134	11740	75225
135	11826	75135
136	11912	75037
137	12005	74990
